Hole Depth,Rate Of Penetration,String Weight,Convertible Torque,Rotary Torque,Weight on Bit,YYYY/MM/DD,HH:MM:SS,Memos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9540,212,251237.546,11403,11.403,22702.8135,10/11/2021,23:19:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9560,131.66,251237.546,5227,5.227,23813.6476,10/11/2021,23:29:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9580,155.57,251237.546,5806,5.806,28984.2085,10/11/2021,23:37:57,PVT: Volume Alarm snooze Started,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,SC TRANFERING,PVT: Volume Alarm snooze Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9600,216.36,250145.8735,11862,11.862,21842.7077,10/11/2021,23:51:35,PUMPING SWEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9620,243.76,249872.9554,14438,14.438,24090.4065,10/11/2021,23:56:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9640,241.53,249872.9554,14639,14.639,25793.2358,10/12/2021,0:01:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9660,245.58,249872.9554,15383,15.383,27249.0539,10/12/2021,0:06:40,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9680,243.57,249872.9554,14651,14.651,26213.9816,10/12/2021,0:18:00,SC DONE TRANFERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9700,242.01,249872.9554,12956,12.953,20259.016,10/12/2021,0:25:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9720,206.47,249872.9554,13596,13.596,30225.2868,10/12/2021,0:34:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9740,131,249872.9554,14152,14.097,34729.3598,10/12/2021,0:45:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9760,156.07,249872.9554,13764,13.764,33694.2605,10/12/2021,0:55:59,DIESEL @ 4 SEC/QT WATER OFF,ZWOB FROM Rig Display Drilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780,131.24,250060.8957,14888,14.888,34508.485,10/12/2021,1:16:34,PUMPING SWEEP,Smart Alarms: Off,RIGALARM: PVT Rig Alarm Device 314 Online,BIT DEPTH CHANGED TO 9751.0 FEET,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,FLOW CHECK,NO FLOW,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,6.9,10.8,5.3,5.3,FILL TT1,4.3,4.3,4.5 SC TRANFERING,4.9,SC DONE TRANFERING,3.5,5,5,5 FILL TT2,4.1,3.9,FLOW CHECK@SHOE/RH,NO FLOW,REMOVE RH/INSTALL TRIP NIPPLE,TIGHT BREAK,TIGHT BREAK,5.4,FLOW CHECK TC,NO FLOW CHECK C.O.M,CHANGE SLIP DIES,7.4,6.6,6.5,FLOW CHECK BHA,RIG SERVICE,PVT: Trip Tank 1 high-low alarm has been enabled,27.2,25.2,BIT DEPTH CHANGED TO 1215.0 FEET,24.8,25.2,24.6,C.O.M.,FLOW CHECK TC,NO FLOW,25,24.8,25.6,BIT DEPTH CHANGED TO 3898.0 FEET,SC CENTERIFUGE ON ACTIVE,24.7,SC CENTERIFUGE OFF,25.3,23.2,24.9,24,24.9,24.5,BIT DEPTH CHANGED TO 7017.0 FEET,25.4,23.2,24.6,23.9,25.5,XFER FROM ACT TO FRAC,MAKE UP HANGER,BIT DEPTH CHANGED TO 9678.0 FEET,FILL PIPE,XFER COMPLETE,LANDED W/210K W/O BLOCKS,R/D CRT R/U CMT HEAD,BIT DEPTH CHANGED TO 9774.0 FEET,PVT: Trip Tank 2 high-low alarm has been disabled,PVT: Alarms muted,PVT: Volume Alarm snooze Stopped,SC CENTERIFUGE ON ACTIVE,XFER FROM ACT TO FRAC,XFER COMPLETE,PVT: Alarms unmuted,PVT: Volume Alarm snooze Stopped,XFER FROM FRAC TO ACT,XFER COMPLETE,XFER FROM FRAC TO ACT,XFER COMPLETE,MW IN PITS 8.8,TURN OFF CENTRIFUGE AND DIESEL,Smart Alarms: On,HOLE DEPTH HAS BEEN CHANGED TO 9790.03 FEET TOTAL STROKES HAS BEEN RESET TO ZERO,Smart Alarms: Off,BIT DEPTH CHANGED TO 250.0 FEET,RESTARTING PASON,PROCESS FLUID FROM BULLET TANK NOV,10,9.7,9.9,MW IN 8.8,BIT DEPTH CHANGED TO 2028.0 FEET,9.5,MW OUT 8.7,9.4,FILL PIPE,PROCESS COMPLETE NOV,9.4,9.3,10.1,10.6,9.1,9.4,9,9.4,9.2,9.1,9.2,9.9,FILL PIPE,MW IN 8.9,9.3,10.1,REMOVE TRIP NIPPLE/INSTALL RH,FILL PIPE,SLIP AND CUT DRILL LINE,RIG SERVICE,DIESEL 4 SEC/QT,BIT DEPTH CHANGED TO 9608.0 FEET,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,XFER FROM TT2 TO ACT,ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling,ZDIFF FROM Rig Display Drilling,MW IN 9.0/OUT 9.8,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,MW IN 9.2/OUT 9.4,9.3 IN 8.9 OUT,MW 9.3 IN/9.0 OUT,ZDIFF FROM Rig Display Drilling,MW IN 9.3/OUT 8.7,MW IN 9.3/OUT 8.7,MW IN 9.3/OUT 8.8,MW IN 9.2+/OUT 9.0,MW IN 9.3/ OUT 8.9,MW 9.1 IN 8.9 OUT,MW IN 9.2 OUT 8.9,MW IN 9.2/ OUT 9.0,MW IN 9.1+ OUT 9.0,MW IN 9.1/ OUT 9.0,PROCESS FLUID FROM BULLET TANK NOV,ZDIFF FROM Rig Display Drilling,HOOKLOAD WAS RECALIBRATED.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9800,317.91,152299.2109,4736,4.736,2654.6793,11/8/2021,16:07:28,PROCESS COMPLETE NOV,STRING WEIGHT MANUALLY CHANGED FROM Rig Display Drilling WHILE ON BOTTOM,MW IN 9.1/OUT 9.1,DIESEL @ 2 SEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9820,81.02,176042.8697,2940,2.94,8859.2641,11/8/2021,16:48:53,MW IN 9.1/OUT 9.0,XFER FROM ACT TO SLUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9840,74.85,185999.9975,2760,2.76,12122.1464,11/8/2021,17:06:38,XFER COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9860,97.91,185999.9975,2985,2.985,12380.8791,11/8/2021,17:35:19,MW IN 9.1/OUT 9.0+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9880,113.02,185999.9975,2851,2.851,14461.0997,11/8/2021,17:47:10,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900,206.84,185999.9975,2756,2.756,15700.9562,11/8/2021,18:11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9920,131.57,185999.9975,2890,2.89,14841.9587,11/8/2021,18:22:06,MW IN 9.0+ VIS 42,OUT 9.0,DIESEL 2 SEC/QT / NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,141.05,185999.9975,3235,3.235,16253.6131,11/8/2021,18:30:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9960,152.6,185999.9975,3240,3.24,17770.83,11/8/2021,18:39:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9980,161.6,185999.9975,3276,3.276,19720.6456,11/8/2021,18:46:47,PVT: Volume Alarm snooze Started,CHECK C.O.M,"Sample @ 9,900' = 100% Chalk CHANGE FLOW PATH F/FLOW LINE T/GAS BUSTER",PVT: Volume Alarm snooze Expired,BOTH CHOKES 100%,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,151.28,195501.7747,6052,6.052,15215.643,11/8/2021,19:22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,153.34,195501.7747,6101,6.101,15666.8774,11/8/2021,19:33:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,117.38,195501.7747,3307,3.307,23582.0819,11/8/2021,19:45:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,118.87,195501.7747,3302,3.302,24517.6695,11/8/2021,19:55:34,"COOLING SYSTEM RUNNING ON ACTIVE Sample @ 10,000' = 100% Chalk",IN 9.0 OUT 8.9+,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080,151.53,195526.6611,4150,4.15,21777.1343,11/8/2021,20:21:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,151.53,195584.7292,6062,6.062,16211.2501,11/8/2021,20:29:01,MIXING CHEMICALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,151.04,195584.7292,3984,3.984,20336.5032,11/8/2021,20:44:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140,117.63,195584.7292,3290,3.29,23886.3609,11/8/2021,20:55:06,"Sample @ 10,100' = 100% Chalk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160,127.61,195584.7292,3561,3.561,24950.2358,11/8/2021,21:04:53,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,DIESEL 4 SEC/QT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,151.53,194317.8856,5452,5.452,18351.4936,11/8/2021,21:30:12,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,ON MUD CAP,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,PREP PITS W/KILL MUD,WEIGHT UP KILL MUD,KILL MUD 16.4 PPG,KILL MUD 16.7 PPG,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200,151.53,185541.5782,6039,6.039,14128.9579,11/9/2021,0:33:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220,96.02,169462.8227,3749,3.749,24571.4562,11/9/2021,0:47:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240,105.01,169462.8227,3496,3.496,25602.2943,11/9/2021,0:59:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10260,106,169462.8227,3457,3.457,28274.4865,11/9/2021,1:11:27,PVT: Volume Alarm snooze Started,PVT: Volume Alarm snooze Expired,ZWOB FROM Rig Display Drilling ZDIFF FROM Rig Display Drilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10280,126.79,163938.2876,6958,6.958,18918.6452,11/9/2021,1:38:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,131.82,162963.3697,7470,7.47,16459.6225,11/9/2021,1:51:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
